user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
MAG130	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__GWA1-40-21;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	64.19	11	0.774536366857	N/A
MAG553	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__XYD1-FULL-46-19;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	44.03	11	0.786287913906	N/A
MAG632	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA12445;g__UBA12445;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA12445;g__;s__	Placement	taxonomic novelty determined using RED	N/A	68.43	11	0.904319375798	N/A
MAG260	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	Placement	taxonomic classification fully defined by topology	N/A	56.13	11	0.94985372162	N/A
MAG077	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	N/A	N/A	N/A	N/A	N/A	GCA_001786365.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__UBA9973 sp001786365	78.93	0.31	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	Placement	taxonomic classification fully defined by topology	GCA_000989515.1, s__UBA9973 sp000989515, 95.0, 77.47, 0.23; GCA_001786765.1, s__UBA9973 sp001786765, 95.0, 77.42, 0.26	57.52	11	0.947631388769	N/A
MAG641	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	N/A	N/A	N/A	N/A	N/A	GCA_001787205.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__UBA9973 sp001787205	77.15	0.26	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	Placement	taxonomic classification fully defined by topology	GCA_002788475.1, s__UBA9973 sp002788475, 95.0, 77.37, 0.3; GCA_000989515.1, s__UBA9973 sp000989515, 95.0, 77.26, 0.26; GCA_001786365.1, s__UBA9973 sp001786365, 95.0, 77.1, 0.23; GCA_002792755.1, s__UBA9973 sp002792755, 95.0, 76.91, 0.26	69.8	11	0.953385624104	N/A
MAG233	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	Placement	taxonomic classification fully defined by topology	GCA_000989515.1, s__UBA9973 sp000989515, 95.0, 76.88, 0.24	64.58	11	0.882495001575	N/A
MAG281	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	Placement	taxonomic classification fully defined by topology	N/A	67.64	11	0.880612757842	N/A
MAG083	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	Placement	taxonomic classification fully defined by topology	N/A	53.0	11	0.880091957026	N/A
MAG542	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	Placement	taxonomic classification fully defined by topology	GCA_000989515.1, s__UBA9973 sp000989515, 95.0, 77.26, 0.3	68.57	11	0.87820315572	N/A
MAG275	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA8515;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA8515;s__	Placement	taxonomic classification fully defined by topology	GCA_000990325.1, s__UBA8515 sp000990325, 95.0, 78.87, 0.33; GCA_000991405.1, s__UBA8515 sp000991405, 95.0, 78.55, 0.33; GCA_000505065.1, s__UBA8515 sp000505065, 95.0, 76.71, 0.25	68.49	11	0.943553190574	N/A
MAG477	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA8515;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA8515;s__	Placement	taxonomic classification fully defined by topology	N/A	57.7	11	0.914847654952	N/A
MAG612	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__MFUC01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__;s__	Placement	taxonomic novelty determined using RED	N/A	65.93	11	0.863434194572	N/A
MAG743	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA4124;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__;s__	Placement	taxonomic novelty determined using RED	N/A	66.05	11	0.895723761828	N/A
MAG626	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	68.17	11	0.762355580058	N/A
MAG106	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	72.48	11	0.760413487881	N/A
MAG599	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA5272;g__UBA5272;s__	N/A	N/A	N/A	N/A	N/A	GCA_002408565.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA5272;g__UBA5272;s__UBA5272 sp002408565	77.72	0.36	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA5272;g__;s__	Placement	taxonomic novelty determined using RED	N/A	58.97	11	0.918531828133	N/A
MAG435	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA5272;g__UBA11704;s__	N/A	N/A	N/A	N/A	N/A	GCA_003518045.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA5272;g__UBA11704;s__UBA11704 sp003518045	83.49	0.74	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA5272;g__;s__	Placement	taxonomic novelty determined using RED	N/A	62.44	11	0.975003647249	N/A
MAG064	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA1006;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA1006;g__;s__	Placement	taxonomic novelty determined using RED	N/A	68.19	11	0.759424384226	N/A
MAG459	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__SW-4-49-11;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	58.17	11	0.59368754822	N/A
MAG572	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__GWB1-50-10;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__GWB1-50-10;g__;s__	Placement	taxonomic novelty determined using RED	N/A	65.2	11	0.822315810524	N/A
MAG383	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__XYD1-FULL-39-28;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__XYD1-FULL-39-28;s__	Placement	taxonomic classification fully defined by topology	N/A	57.2	11	0.941518929011	N/A
MAG389	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__UBA2206;g__UBA9630;s__	N/A	N/A	N/A	N/A	N/A	GCA_003482885.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__UBA2206;g__UBA9630;s__UBA9630 sp003482885	77.56	0.23	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__UBA2206;g__;s__	Placement	taxonomic novelty determined using RED	N/A	75.42	11	0.922372694367	N/A
MAG543	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__UBA2206;g__UBA9630;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__UBA2206;g__;s__	Placement	taxonomic novelty determined using RED	N/A	63.83	11	0.920153448726	N/A
MAG218	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__GWC2-37-73;g__UBA12068;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__GWC2-37-73;g__;s__	Placement	taxonomic novelty determined using RED	N/A	77.84	11	0.933617288803	N/A
MAG014	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__GWC2-37-73;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__GWC2-37-73;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	74.9	11	0.876526555069	N/A
MAG328	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__GWC2-37-73;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__GWC2-37-73;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	69.92	11	0.871889701549	N/A
MAG126	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__UBA1568;g__UBA1568;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__UBA1568;g__UBA1568;s__	Placement	taxonomic classification fully defined by topology	N/A	55.04	11	0.949351295619	N/A
MAG282	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__UBA1568;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	74.78	11	0.792058224803	N/A
MAG496	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__UBA1568;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	74.46	11	0.789939808807	N/A
MAG120	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__UBA1568;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__Moranbacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	71.35	11	0.775597538124	N/A
MAG555	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__GWF2-40-263;g__YC12-FULL-57-11;s__	N/A	N/A	N/A	N/A	N/A	GCA_001791645.1	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__GWF2-40-263;g__YC12-FULL-57-11;s__YC12-FULL-57-11 sp001791645	78.0	0.2	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__GWF2-40-263;g__;s__	Placement	taxonomic novelty determined using RED	N/A	76.15	11	0.92237723614	N/A
MAG369	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__21-14-all-47-17;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__;s__	Placement	taxonomic novelty determined using RED	N/A	76.73	11	0.894063201363	N/A
MAG292	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	76.01	11	0.702173938091	N/A
MAG500	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__GWE2-39-37;g__CG2-30-45-37;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__GWE2-39-37;g__;s__	Placement	taxonomic novelty determined using RED	N/A	69.62	11	0.895812859814	N/A
MAG025	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__GWE2-39-37;g__GWE2-39-37;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__GWE2-39-37;g__;s__	Placement	taxonomic novelty determined using RED	N/A	74.8	11	0.892630287922	N/A
MAG379	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__GWE2-39-37;g__GWE2-39-37;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__GWE2-39-37;g__;s__	Placement	taxonomic novelty determined using RED	N/A	77.36	11	0.891002691289	N/A
MAG532	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA12465;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA12465;g__;s__	Placement	taxonomic novelty determined using RED	N/A	76.51	11	0.869935552615	N/A
MAG424	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA12465;g__GCA-002841655;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA12465;g__;s__	Placement	taxonomic novelty determined using RED	N/A	76.37	11	0.859273022593	N/A
MAG342	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA12465;g__CG1-02-41-21;s__	N/A	N/A	N/A	N/A	N/A	GCA_002778645.1	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA12465;g__CG1-02-41-21;s__CG1-02-41-21 sp002778645	79.71	0.43	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA12465;g__CG1-02-41-21;s__	Placement	taxonomic classification fully defined by topology	GCA_001871235.1, s__CG1-02-41-21 sp001871235, 95.0, 78.77, 0.46	68.91	11	0.965293651595	N/A
MAG386	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA12465;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA12465;g__;s__	Placement	taxonomic novelty determined using RED	N/A	76.65	11	0.863058567075	N/A
MAG601	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA917;g__1-14-0-10-37-14;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA917;g__;s__	Placement	taxonomic novelty determined using RED	N/A	77.44	11	0.896753291126	N/A
MAG643	d__Bacteria;p__Patescibacteria;c__ABY1;o__Buchananbacterales;f__2-01-FULL-39-33;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__Buchananbacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	72.74	11	0.807449244831	N/A
MAG511	d__Bacteria;p__Patescibacteria;c__ABY1;o__Buchananbacterales;f__2-01-FULL-39-33;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__Buchananbacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	61.73	11	0.777653089084	N/A
MAG089	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__Peribacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__Peribacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	77.94	11	0.893492370869	N/A
MAG357	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__GCA-2401425;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	81.23	11	0.653465568135	N/A
MAG451	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__BD1-5;f__UBA6164;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__BD1-5;f__UBA6164;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	78.79	4	0.709593747467	N/A
MAG609	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA5124;s__	N/A	N/A	N/A	N/A	N/A	GCA_002414185.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA5124;s__UBA5124 sp002414185	78.07	0.23	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA5124;s__	Placement	taxonomic classification fully defined by topology	GCA_000503875.1, s__UBA5124 sp000503875, 95.0, 79.79, 0.24	58.43	4	0.960613461383	N/A
MAG708	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__	N/A	N/A	N/A	N/A	N/A	GCA_003488625.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__UBA9567 sp003488625	79.2	0.41	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Placement	taxonomic novelty determined using RED	N/A	64.46	4	0.969073571181	N/A
MAG197	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__	N/A	N/A	N/A	N/A	N/A	GCA_003488625.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__UBA9567 sp003488625	78.57	0.35	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Placement	taxonomic novelty determined using RED	N/A	65.83	4	0.966626411229	N/A
MAG478	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__	N/A	N/A	N/A	N/A	N/A	GCA_003488625.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__UBA9567 sp003488625	78.35	0.41	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Placement	taxonomic novelty determined using RED	N/A	66.07	4	0.963829599709	N/A
MAG447	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__	N/A	N/A	N/A	N/A	N/A	GCA_003488625.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__UBA9567 sp003488625	78.16	0.38	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Placement	taxonomic novelty determined using RED	N/A	53.99	4	0.961588158229	N/A
MAG322	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__	N/A	N/A	N/A	N/A	N/A	GCA_003488625.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__UBA9567 sp003488625	77.69	0.28	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Placement	taxonomic novelty determined using RED	N/A	54.94	4	0.958448415753	N/A
MAG179	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__	N/A	N/A	N/A	N/A	N/A	GCA_003488625.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__UBA9567 sp003488625	78.01	0.3	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Placement	taxonomic novelty determined using RED	N/A	60.58	4	0.953375978902	N/A
MAG305	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Placement	taxonomic novelty determined using RED	N/A	62.42	4	0.930683163459	N/A
MAG122	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA9567;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Placement	taxonomic novelty determined using RED	N/A	58.89	4	0.928502653449	N/A
MAG050	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA6263;s__	N/A	N/A	N/A	N/A	N/A	GCA_002441085.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__UBA6263;s__UBA6263 sp002441085	79.33	0.56	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Placement	taxonomic novelty determined using RED	N/A	52.76	4	0.952397282704	N/A
MAG353	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	61.33	4	0.786774906371	N/A
MAG178	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__	N/A	N/A	N/A	N/A	N/A	GCA_001873625.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__UBA1547 sp001873625	79.29	0.44	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__	Placement	taxonomic classification fully defined by topology	GCA_002839415.1, s__UBA1547 sp002839415, 95.0, 77.89, 0.23	76.43	11	0.968622429188	N/A
MAG327	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__	N/A	N/A	N/A	N/A	N/A	GCA_001873625.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__UBA1547 sp001873625	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__	Placement	taxonomic classification fully defined by topology	GCA_002839415.1, s__UBA1547 sp002839415, 95.0, 77.07, 0.15	73.13	11	0.957599476516	N/A
MAG744	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__	Placement	taxonomic classification fully defined by topology	N/A	69.05	11	0.957473385562	N/A
MAG668	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__	N/A	N/A	N/A	N/A	N/A	GCA_001873625.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__UBA1547 sp001873625	78.32	0.24	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__	Placement	taxonomic classification fully defined by topology	N/A	73.73	11	0.956714115586	N/A
MAG262	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__	Placement	taxonomic classification fully defined by topology	N/A	66.23	11	0.956217284486	N/A
