gene	subject_name	sseqid	whole_genome_used
bchZ	Heliobacterium_modesticaldum_Ice1	WP_012282415.1	yes
bchX	Methyloversatilis_universalis_FAM5	WP_008064756.1	yes
bchY	Methyloversatilis_universalis_FAM5	WP_043360456.1	yes
bchZ	Methyloversatilis_universalis_FAM5	WP_008064758.1	yes
bchX	Mongoliimonas_terrestris_MIMtkB18	WP_075217413.1	yes
bchY	Mongoliimonas_terrestris_MIMtkB18	WP_075217414.1	yes
bchZ	Mongoliimonas_terrestris_MIMtkB18	WP_075217415.1	yes
bchX	Nevskia_ramosa_DSM_11499	WP_022977583.1	yes
bchY	Nevskia_ramosa_DSM_11499	WP_022977584.1	yes
bchZ	Nevskia_ramosa_DSM_11499	WP_022977585.1	yes
bchX	Oceanibaculum_indicum_P24	WP_040707194.1	yes
bchY	Oceanibaculum_indicum_P24	WP_008944432.1	yes
bchZ	Oceanibaculum_indicum_P24	WP_008944431.1	yes
bchX	Oscillochloris_trichoides_DG-6	WP_006562906.1	yes
bchY	Oscillochloris_trichoides_DG-6	WP_006563025.1	yes
bchZ	Oscillochloris_trichoides_DG-6	WP_006563024.1	yes
bchX	Pararhodospirillum_photometricum_DSM_122	WP_014414765.1	yes
bchY	Pararhodospirillum_photometricum_DSM_122	WP_014414764.1	yes
bchZ	Pararhodospirillum_photometricum_DSM_122	WP_014414763.1	yes
bchX	Prosthecochloris_aestuarii_DSM_271	WP_012506088.1	yes
bchY	Prosthecochloris_aestuarii_DSM_271	WP_150084532.1	yes
bchZ	Prosthecochloris_aestuarii_DSM_271	WP_012504764.1	yes
bchX	Prosthecochloris_marina_V1	WP_110023203.1	yes
bchY	Prosthecochloris_marina_V1	WP_110022377.1	yes
bchZ	Prosthecochloris_marina_V1	WP_110022642.1	yes
bchX	Prosthecochloris_sp_CIB_2401	WP_068866692.1	yes
bchY	Prosthecochloris_sp_CIB_2401	WP_068867832.1	yes
bchZ	Prosthecochloris_sp_CIB_2401	WP_068868137.1	yes
bchX	Prosthecochloris_sp_GSB1	WP_094083648.1	yes
bchY	Prosthecochloris_sp_GSB1	WP_094083810.1	yes
bchZ	Prosthecochloris_sp_GSB1	WP_094081703.1	yes
bchX	Pseudohaliea_rubra_DSM_19751	WP_035516560.1	yes
bchY	Pseudohaliea_rubra_DSM_19751	WP_035516561.1	yes
bchZ	Pseudohaliea_rubra_DSM_19751	WP_035516563.1	yes
bchX	Rhodoblastus_acidophilus_DSM_137	WP_088521691.1	yes
bchY	Rhodoblastus_acidophilus_DSM_137	WP_088521690.1	yes
bchZ	Rhodoblastus_acidophilus_DSM_137	WP_088521689.1	yes
bchX	Rhodoferax_fermentans_JCM_7819	WP_078363870.1	yes
bchY	Rhodoferax_fermentans_JCM_7819	WP_078363869.1	yes
bchZ	Rhodoferax_fermentans_JCM_7819	WP_078363868.1	yes
bchX	Rhodomicrobium_vannielii_ATCC_17100	WP_013417907.1	yes
bchY	Rhodomicrobium_vannielii_ATCC_17100	WP_013417908.1	yes
bchZ	Rhodomicrobium_vannielii_ATCC_17100	WP_013417909.1	yes
bchX	Rhodospirillum_rubrum_ATCC_11170	YP_428062.1	yes
bchY	Rhodospirillum_rubrum_ATCC_11170	YP_428061.1	yes
bchZ	Rhodospirillum_rubrum_ATCC_11170	YP_428060.1	yes
bchX	Rhodovibrio_salinarum_DSM_9154	WP_051431810.1	yes
bchY	Rhodovibrio_salinarum_DSM_9154	WP_051432184.1	yes
bchZ	Rhodovibrio_salinarum_DSM_9154	WP_027289282.1	yes
bchX	Roseiflexus_castenholzii_DSM_13941	WP_012122209.1	yes
bchY	Roseiflexus_castenholzii_DSM_13941	WP_012122207.1	yes
bchZ	Roseiflexus_castenholzii_DSM_13941	WP_012122206.1	yes
bchX	Roseiflexus_sp_RS-1	WP_011957965.1	yes
bchY	Roseiflexus_sp_RS-1	WP_011957962.1	yes
bchZ	Roseiflexus_sp_RS-1	WP_011957961.1	yes
bchX	Roseobacter_litoralis_Och_149	WP_044025787.1	yes
bchY	Roseobacter_litoralis_Och_149	WP_013984572.1	yes
bchZ	Roseobacter_litoralis_Och_149	WP_013984573.1	yes
bchX	Rubritepida_flocculans_DSM_14296	WP_027283902.1	yes
bchY	Rubritepida_flocculans_DSM_14296	WP_027283901.1	yes
bchZ	Rubritepida_flocculans_DSM_14296	WP_027283900.1	yes
bchX	Stappia_stellulata_DSM_5886	WP_156884787.1	yes
bchY	Stappia_stellulata_DSM_5886	WP_029059917.1	yes
bchZ	Stappia_stellulata_DSM_5886	WP_029059918.1	yes
bchX	Thalassobaculum_litoreum_DSM_18839	WP_028793870.1	yes
bchY	Thalassobaculum_litoreum_DSM_18839	WP_084618766.1	yes
bchZ	Thalassobaculum_litoreum_DSM_18839	WP_093148350.1	yes
bchX	Thiocapsa_sp_KS1	WP_093192198.1	yes
bchY	Thiocapsa_sp_KS1	WP_093192200.1	yes
bchZ	Thiocapsa_sp_KS1	WP_093189818.1	yes
bchX	Thiorhodospira_sibirica_ATCC_700588	WP_006787504.1	yes
bchY	Thiorhodospira_sibirica_ATCC_700588	WP_006787503.1	yes
bchZ	Thiorhodospira_sibirica_ATCC_700588	WP_040852319.1	yes
bchX	Heliobacterium_gestii	WP_161261327.1	no
bchY	Heliobacterium_gestii	WP_161261323.1	no
bchZ	Heliobacterium_gestii	WP_161261324.1	no
bchX	Heliobacillus_mobilis	WP_155477921.1	no
bchY	Heliobacillus_mobilis	WP_155477925.1	no
bchZ	Heliobacillus_mobilis	WP_155477924.1	no
